ε-Greedy (non-decaying),ε-Greedy (decaying),LinUCB,Thompson Sampling,Baseline
0,0,0,1,0
0,0,1,1,0
0,0,1,1,0
0,0,2,2,0
0,0,3,2,0
1,0,3,2,0
1,0,4,3,0
2,0,5,3,0
2,1,6,3,0
2,1,6,4,0
2,2,6,4,0
2,2,6,4,0
3,3,6,4,0
3,4,7,5,0
3,4,7,6,0
3,4,7,6,0
3,4,7,7,0
3,5,7,7,0
4,5,8,7,0
5,6,9,8,0
5,6,10,8,0
6,6,10,9,0
6,6,10,9,0
6,6,11,9,0
7,6,12,10,0
8,6,12,11,0
9,7,13,12,0
10,7,14,13,0
11,7,15,14,0
12,7,16,14,0
12,7,16,15,0
13,7,17,15,0
13,7,17,16,0
14,7,18,17,0
15,7,19,18,0
16,7,19,19,0
17,7,19,19,0
18,7,19,20,0
19,8,19,20,0
19,8,19,20,0
20,9,19,21,0
20,9,20,22,0
21,10,20,22,0
22,10,20,23,0
23,11,21,24,0
23,12,21,25,0
23,12,22,25,0
24,12,22,25,0
25,12,22,26,0
25,12,22,27,0
26,13,22,28,0
27,13,23,28,0
27,14,23,29,0
28,15,23,30,0
29,15,23,31,0
29,16,24,32,0
30,16,24,33,0
31,17,24,34,0
31,18,24,34,0
32,18,24,34,0
33,19,25,35,1
33,20,25,35,1
33,20,25,35,1
34,20,25,35,1
34,20,25,35,1
34,21,26,36,1
34,22,26,37,1
34,23,27,38,1
35,23,27,39,1
35,24,27,40,1
35,25,28,41,1
36,25,28,42,1
37,25,28,42,1
38,26,29,42,1
39,26,30,43,1
39,27,30,43,1
40,28,30,44,1
41,28,30,44,1
41,28,30,44,1
41,28,30,45,1
42,28,30,45,1
43,29,30,46,1
44,29,30,46,1
44,30,30,47,1
44,31,30,47,1
44,31,30,47,1
45,32,30,48,1
46,32,31,48,1
47,33,32,49,1
47,33,33,49,1
48,33,34,50,1
49,33,35,51,2
49,33,35,52,2
49,34,35,52,2
50,35,35,52,2
50,36,36,53,2
50,36,37,53,2
50,37,38,54,2
50,37,38,55,2
51,37,39,55,2
51,38,40,56,2
51,39,40,57,2
52,39,40,57,2
52,39,41,58,2
52,40,42,59,2
53,41,42,60,2
53,41,43,60,2
54,42,44,61,2
55,43,45,62,2
55,43,45,63,2
56,43,45,63,2
57,44,46,63,2
57,44,47,63,2
58,45,48,64,2
59,45,48,64,2
60,46,48,64,2
60,46,49,64,2
60,47,49,64,2
60,48,50,65,2
60,48,50,65,3
61,48,51,66,3
62,48,51,67,4
62,49,52,68,4
63,49,53,68,4
64,50,54,68,4
65,50,55,69,4
65,51,56,70,4
66,52,57,71,4
67,53,57,71,4
68,54,58,71,4
68,55,59,72,4
69,56,59,73,4
70,57,59,73,4
70,57,60,74,4
70,58,60,75,4
70,59,61,76,4
71,59,61,77,5
71,60,62,77,5
71,61,62,77,5
71,61,62,78,5
72,61,62,79,5
72,61,62,79,5
73,62,63,80,5
73,62,63,81,5
74,63,63,82,5
74,63,64,82,5
74,64,64,82,5
74,65,64,82,5
75,65,64,82,5
75,66,64,83,5
76,67,64,84,5
77,68,65,85,5
77,69,66,85,5
78,70,66,86,5
78,71,67,87,5
79,72,68,87,5
79,72,68,88,5
80,73,68,89,5
81,73,68,89,5
82,73,68,89,5
83,74,68,89,6
84,75,68,89,6
85,76,68,90,6
85,77,69,90,6
86,78,69,91,6
86,79,69,91,6
87,80,69,91,6
87,80,69,91,6
87,81,69,91,6
87,82,69,91,6
88,82,70,91,6
88,83,71,91,6
89,84,71,91,6
90,84,71,91,6
90,84,72,91,6
90,84,72,91,6
90,85,72,91,6
90,86,73,91,6
90,87,73,92,6
90,88,74,92,6
90,88,74,92,6
91,88,74,92,6
91,88,75,92,6
92,89,75,93,6
93,90,75,93,6
93,91,75,93,6
94,91,75,93,6
94,92,75,93,6
95,93,76,94,6
95,93,77,94,6
95,93,78,95,6
95,94,79,95,6
96,94,79,95,6
96,95,79,95,6
97,95,80,95,6
97,95,80,95,6
98,96,80,95,6
98,97,81,96,6
98,97,81,96,7
98,98,81,96,7
98,99,81,96,7
98,99,81,96,7
98,100,81,96,8
99,101,81,96,8
99,101,81,97,8
99,102,82,97,8
